zip_code,population,median_income,num_bachelors,num_masters,num_doctorate,num_white,pct_tertiary,pct_white
78574,63165,45379,4005,1061,79,30062,8.1,47.599999999999994
78575,4649,69971,858,297,59,2880,26.1,61.9
78576,13466,39956,205,69,0,5663,2.0,42.1
78577,79496,44871,5656,1936,81,45417,9.700000000000001,57.099999999999994
78578,10540,49396,960,432,68,9153,13.900000000000002,86.8
78579,3063,27941,88,153,0,654,7.9,21.4
78580,13344,44362,507,168,9,9090,5.1,68.10000000000001
78582,44988,40221,2174,673,120,26256,6.6000000000000005,58.4
78583,6384,59217,540,77,0,3558,9.700000000000001,55.7
78584,17721,29398,1063,329,12,9867,7.9,55.7
78586,49504,42515,2229,843,63,29454,6.3,59.5
78589,40115,50099,2310,699,12,23395,7.5,58.3
78590,711,32857,37,3,0,617,5.6000000000000005,86.8
78592,587,30156,7,0,0,451,1.2,76.8
78593,5015,34773,108,66,0,3778,3.5000000000000004,75.3
78594,1398,23258,54,0,0,845,3.9,60.4
78595,6128,46125,140,67,0,3214,3.4000000000000004,52.400000000000006
78596,36545,53097,3420,1112,75,19607,12.6,53.7
78597,2386,62557,605,259,142,1836,42.199999999999996,76.9
78598,108,23523,26,18,0,108,40.699999999999996,100.0
78599,35999,56566,2534,605,132,18419,9.1,51.2
78602,34978,82500,4242,1444,200,24186,16.8,69.1
78605,7463,79092,526,166,22,5514,9.6,73.9
78606,6942,89688,1248,275,68,5555,22.900000000000002,80.0
78607,208,54531,26,0,0,203,12.5,97.6
78608,298,90500,18,0,0,291,6.0,97.7
78609,1880,67578,164,184,29,1750,20.1,93.10000000000001
78610,44410,103562,8328,2719,461,32271,25.900000000000002,72.7
78611,13815,74098,1932,587,137,12210,19.2,88.4
78612,19354,81275,1647,386,327,8514,12.2,44.0
78613,88189,116893,21534,7704,1218,63332,34.5,71.8
78614,302,58553,83,22,9,281,37.7,93.0
78615,1781,73462,119,97,0,967,12.1,54.300000000000004
78616,8821,68191,559,144,11,4757,8.1,53.900000000000006
78617,29244,74773,2006,484,34,10720,8.6,36.7
78618,310,84688,45,22,21,303,28.4,97.7
78619,6067,171398,1521,467,189,5668,35.9,93.4
78620,19893,138639,5516,1975,420,17079,39.800000000000004,85.9
78621,26133,92103,2485,1046,221,15018,14.399999999999999,57.49999999999999
78622,353,64583,65,7,0,323,20.4,91.5
78623,1094,100000,229,176,11,849,38.0,77.60000000000001
78624,23538,71082,3984,1680,323,19881,25.4,84.5
78626,40758,94927,5573,2824,488,27354,21.8,67.10000000000001
78628,41428,111491,9473,4027,765,33826,34.4,81.69999999999999
78629,12054,64807,762,239,18,8223,8.5,68.2
